"Passengerid","Age","Fare","Sex","sibsp","Parch","Pclass","Embarked","Survived","ZeroR","Age_Range","Fare_Range"
143,24,15.85,1,1,0,3,2,1,0,5,1
144,19,6.75,0,0,0,3,1,0,0,4,1
145,18,11.5,0,0,0,2,2,0,0,4,1
146,19,36.75,0,1,1,2,2,0,0,4,1
148,9,34.375,1,2,2,3,2,0,0,2,1
150,42,13,0,0,0,2,2,0,0,9,1
151,51,12.525,0,0,0,2,2,0,0,11,1
152,22,66.6,1,1,0,1,2,1,0,5,2
153,55.5,8.05,0,0,0,3,2,0,0,12,1
155,28,7.3125,0,0,0,3,2,0,0,6,1
157,16,7.7333,1,0,0,3,1,1,0,4,1
159,28,8.6625,0,0,0,3,2,0,0,6,1
160,28,69.55,0,8,2,3,2,0,0,6,2
161,44,16.1,0,0,1,3,2,0,0,9,1
162,40,15.75,1,0,0,2,2,1,0,8,1
163,26,7.775,0,0,0,3,2,0,0,6,1
164,17,8.6625,0,0,0,3,2,0,0,4,1
165,1,39.6875,0,4,1,3,2,0,0,1,1
166,9,20.525,0,0,2,3,2,1,0,2,1
167,28,55,1,0,1,1,2,1,0,6,2
168,45,27.9,1,1,4,3,2,0,0,9,1
170,28,56.4958,0,0,0,3,2,0,0,6,2
172,4,29.125,0,4,1,3,1,0,0,1,1
174,21,7.925,0,0,0,3,2,0,0,5,1
175,56,30.6958,0,0,0,1,0,0,0,12,1
177,28,25.4667,0,3,1,3,2,0,0,6,1
178,50,28.7125,1,0,0,1,0,0,0,10,1
179,30,13,0,0,0,2,2,0,0,6,1
180,36,0,0,0,0,3,2,0,0,8,NA
181,28,69.55,1,8,2,3,2,0,0,6,2
182,28,15.05,0,0,0,2,0,0,0,6,1
183,9,31.3875,0,4,2,3,2,0,0,2,1
184,1,39,0,2,1,2,2,1,0,1,1
186,28,50,0,0,0,1,2,0,0,6,1
188,45,26.55,0,0,0,1,2,1,0,9,1
189,40,15.5,0,1,1,3,1,0,0,8,1
191,32,13,1,0,0,2,2,1,0,7,1
193,19,7.8542,1,1,0,3,2,1,0,4,1
200,24,13,1,0,0,2,2,0,0,5,1
201,28,9.5,0,0,0,3,2,0,0,6,1
202,28,69.55,0,8,2,3,2,0,0,6,2
203,34,6.4958,0,0,0,3,2,0,0,7,1
205,18,8.05,0,0,0,3,2,1,0,4,1
207,32,15.85,0,1,0,3,2,0,0,7,1
208,26,18.7875,0,0,0,3,0,1,0,6,1
209,16,7.75,1,0,0,3,1,1,0,4,1
211,24,7.05,0,0,0,3,2,0,0,5,1
212,35,21,1,0,0,2,2,1,0,7,1
213,22,7.25,0,0,0,3,2,0,0,5,1
215,28,7.75,0,1,0,3,1,0,0,6,1
217,27,7.925,1,0,0,3,2,1,0,6,1
219,32,76.2917,1,0,0,1,0,1,0,7,2
221,16,8.05,0,0,0,3,2,1,0,4,1
222,27,13,0,0,0,2,2,0,0,6,1
223,51,8.05,0,0,0,3,2,0,0,11,1
224,28,7.8958,0,0,0,3,2,0,0,6,1
225,38,90,0,1,0,1,2,1,0,8,2
226,22,9.35,0,0,0,3,2,0,0,5,1
228,20.5,7.25,0,0,0,3,2,0,0,5,1
229,18,13,0,0,0,2,2,0,0,4,1
230,28,25.4667,1,3,1,3,2,0,0,6,1
232,29,7.775,0,0,0,3,2,0,0,6,1
233,59,13.5,0,0,0,2,2,0,0,12,1
235,24,10.5,0,0,0,2,2,0,0,5,1
236,28,7.55,1,0,0,3,2,0,0,6,1
238,8,26.25,1,0,2,2,2,1,0,2,1
239,19,10.5,0,0,0,2,2,0,0,4,1
241,28,14.4542,1,1,0,3,0,0,0,6,1
242,28,15.5,1,1,0,3,1,1,0,6,1
243,29,10.5,0,0,0,2,2,0,0,6,1
244,22,7.125,0,0,0,3,2,0,0,5,1
246,44,90,0,2,0,1,1,0,0,9,2
248,24,14.5,1,0,2,2,2,1,0,5,1
251,28,7.25,0,0,0,3,2,0,0,6,1
252,29,10.4625,1,1,1,3,2,0,0,6,1
253,62,26.55,0,0,0,1,2,0,0,13,1
254,30,16.1,0,1,0,3,2,0,0,6,1
255,41,20.2125,1,0,2,3,2,0,0,9,1
256,29,15.2458,1,0,2,3,0,1,0,6,1
257,28,79.2,1,0,0,1,0,1,0,6,2
258,30,86.5,1,0,0,1,2,1,0,6,2
259,35,512.3292,1,0,0,1,0,1,0,7,11
260,50,26,1,0,1,2,2,1,0,10,1
262,3,31.3875,0,4,2,3,2,1,0,1,1
263,52,79.65,0,1,1,1,2,0,0,11,2
264,40,0,0,0,0,1,2,0,0,8,NA
265,28,7.75,1,0,0,3,1,0,0,6,1
266,36,10.5,0,0,0,2,2,0,0,8,1
268,25,7.775,0,1,0,3,2,1,0,5,1
269,58,153.4625,1,0,1,1,2,1,0,12,4
271,28,31,0,0,0,1,2,0,0,6,1
273,41,19.5,1,0,1,2,2,1,0,9,1
275,28,7.75,1,0,0,3,1,1,0,6,1
276,63,77.9583,1,1,0,1,2,1,0,13,2
278,28,0,0,0,0,2,2,0,0,6,NA
279,7,29.125,0,4,1,3,1,0,0,2,1
280,35,20.25,1,1,1,3,2,1,0,7,1
281,65,7.75,0,0,0,3,1,0,0,13,1
282,28,7.8542,0,0,0,3,2,0,0,6,1
286,33,8.6625,0,0,0,3,0,0,0,7,1
287,30,9.5,0,0,0,3,2,1,0,6,1
288,22,7.8958,0,0,0,3,2,0,0,5,1
289,42,13,0,0,0,2,2,1,0,9,1
291,26,78.85,1,0,0,1,2,1,0,6,2
292,19,91.0792,1,1,0,1,0,1,0,4,2
294,24,8.85,1,0,0,3,2,0,0,5,1
295,24,7.8958,0,0,0,3,2,0,0,5,1
297,23.5,7.2292,0,0,0,3,0,0,0,5,1
298,2,151.55,1,1,2,1,2,0,0,1,4
299,28,30.5,0,0,0,1,2,1,0,6,1
300,50,247.5208,1,0,1,1,0,1,0,10,5
301,28,7.75,1,0,0,3,1,1,0,6,1
303,19,0,0,0,0,3,2,0,0,4,NA
304,28,12.35,1,0,0,2,1,1,0,6,1
306,0.92,151.55,0,1,2,1,2,1,0,1,4
307,28,110.8833,1,0,0,1,0,1,0,6,3
309,30,24,0,1,0,2,0,0,0,6,1
312,18,262.375,1,2,2,1,0,1,0,4,6
313,26,26,1,1,1,2,2,0,0,6,1
314,28,7.8958,0,0,0,3,2,0,0,6,1
315,43,26.25,0,1,1,2,2,0,0,9,1
316,26,7.8542,1,0,0,3,2,1,0,6,1
317,24,26,1,1,0,2,2,1,0,5,1
318,54,14,0,0,0,2,2,0,0,11,1
319,31,164.8667,1,0,2,1,2,1,0,7,4
321,22,7.25,0,0,0,3,2,0,0,5,1
323,30,12.35,1,0,0,2,1,1,0,6,1
324,22,29,1,1,1,2,2,1,0,5,1
325,28,69.55,0,8,2,3,2,0,0,6,2
326,36,135.6333,1,0,0,1,0,1,0,8,3
327,61,6.2375,0,0,0,3,2,0,0,13,1
328,36,13,1,0,0,2,2,1,0,8,1
329,31,20.525,1,1,1,3,2,1,0,7,1
334,16,18,0,2,0,3,2,0,0,4,1
335,28,133.65,1,1,0,1,2,1,0,6,3
336,28,7.8958,0,0,0,3,2,0,0,6,1
337,29,66.6,0,1,0,1,2,0,0,6,2
338,41,134.5,1,0,0,1,0,1,0,9,3
340,45,35.5,0,0,0,1,2,0,0,9,1
342,24,263,1,3,2,1,2,1,0,5,6
343,28,13,0,0,0,2,2,0,0,6,1
345,36,13,0,0,0,2,2,0,0,8,1
346,24,13,1,0,0,2,2,1,0,5,1
347,40,13,1,0,0,2,2,1,0,8,1
348,28,16.1,1,1,0,3,2,1,0,6,1
350,42,8.6625,0,0,0,3,2,0,0,9,1
351,23,9.225,0,0,0,3,2,0,0,5,1
353,15,7.2292,0,1,1,3,0,0,0,3,1
357,22,55,1,0,1,1,2,1,0,5,2
359,28,7.8792,1,0,0,3,1,1,0,6,1
361,40,27.9,0,1,4,3,2,0,0,8,1
362,29,27.7208,0,1,0,2,0,0,0,6,1
363,45,14.4542,1,0,1,3,0,0,0,9,1
364,35,7.05,0,0,0,3,2,0,0,7,1
367,60,75.25,1,1,0,1,0,1,0,12,2
368,28,7.2292,1,0,0,3,0,1,0,6,1
372,18,6.4958,0,1,0,3,2,0,0,4,1
374,22,135.6333,0,0,0,1,0,0,0,5,3
375,3,21.075,1,3,1,3,2,0,0,1,1
376,28,82.1708,1,1,0,1,0,1,0,6,2
378,27,211.5,0,0,2,1,0,0,0,6,5
379,20,4.0125,0,0,0,3,0,0,0,4,1
380,19,7.775,0,0,0,3,2,0,0,4,1
381,42,227.525,1,0,0,1,0,1,0,9,5
382,1,15.7417,1,0,2,3,0,1,0,1,1
383,32,7.925,0,0,0,3,2,0,0,7,1
384,35,52,1,1,0,1,2,1,0,7,2
385,28,7.8958,0,0,0,3,2,0,0,6,1
386,18,73.5,0,0,0,2,2,0,0,4,2
387,1,46.9,0,5,2,3,2,0,0,1,1
388,36,13,1,0,0,2,2,1,0,8,1
391,36,120,0,1,2,1,2,1,0,8,3
394,23,113.275,1,1,0,1,0,1,0,5,3
395,24,16.7,1,0,2,3,2,1,0,5,1
397,31,7.8542,1,0,0,3,2,0,0,7,1
398,46,26,0,0,0,2,2,0,0,10,1
399,23,10.5,0,0,0,2,2,0,0,5,1
400,28,12.65,1,0,0,2,2,1,0,6,1
401,39,7.925,0,0,0,3,2,1,0,8,1
402,26,8.05,0,0,0,3,2,0,0,6,1
405,20,8.6625,1,0,0,3,2,0,0,4,1
406,34,21,0,1,0,2,2,0,0,7,1
408,3,18.75,0,1,1,2,2,1,0,1,1
409,21,7.775,0,0,0,3,2,0,0,5,1
410,28,25.4667,1,3,1,3,2,0,0,6,1
414,28,0,0,0,0,2,2,0,0,6,NA
416,28,8.05,1,0,0,3,2,0,0,6,1
417,34,32.5,1,1,1,2,2,1,0,7,1
419,30,13,0,0,0,2,2,0,0,6,1
420,10,24.15,1,0,2,3,2,0,0,2,1
421,28,7.8958,0,0,0,3,0,0,0,6,1
423,29,7.875,0,0,0,3,2,0,0,6,1
424,28,14.4,1,1,1,3,2,0,0,6,1
426,28,7.25,0,0,0,3,2,0,0,6,1
427,28,26,1,1,0,2,2,1,0,6,1
428,19,26,1,0,0,2,2,1,0,4,1
429,28,7.75,0,0,0,3,1,0,0,6,1
430,32,8.05,0,0,0,3,2,1,0,7,1
431,28,26.55,0,0,0,1,2,1,0,6,1
433,42,26,1,1,0,2,2,1,0,9,1
435,50,55.9,0,1,0,1,2,0,0,10,2
436,14,120,1,1,2,1,2,1,0,3,3
437,21,34.375,1,2,2,3,2,0,0,5,1
440,31,10.5,0,0,0,2,2,0,0,7,1
444,28,13,1,0,0,2,2,1,0,6,1
446,4,81.8583,0,0,2,1,2,1,0,1,2
448,34,26.55,0,0,0,1,2,1,0,7,1
449,5,19.2583,1,2,1,3,0,1,0,1,1
450,52,30.5,0,0,0,1,2,1,0,11,1
451,36,27.75,0,1,2,2,2,0,0,8,1
456,29,7.8958,0,0,0,3,0,1,0,6,1
457,65,26.55,0,0,0,1,2,0,0,13,1
458,28,51.8625,1,1,0,1,2,1,0,6,2
459,50,10.5,1,0,0,2,2,1,0,10,1
460,28,7.75,0,0,0,3,1,0,0,6,1
461,48,26.55,0,0,0,1,2,1,0,10,1
463,47,38.5,0,0,0,1,2,0,0,10,1
464,48,13,0,0,0,2,2,0,0,10,1
465,28,8.05,0,0,0,3,2,0,0,6,1
466,38,7.05,0,0,0,3,2,0,0,8,1
467,28,0,0,0,0,2,2,0,0,6,NA
468,56,26.55,0,0,0,1,2,0,0,12,1
469,28,7.725,0,0,0,3,1,0,0,6,1
470,0.75,19.2583,1,2,1,3,0,1,0,1,1
471,28,7.25,0,0,0,3,2,0,0,6,1
472,38,8.6625,0,0,0,3,2,0,0,8,1
473,33,27.75,1,1,2,2,2,1,0,7,1
475,22,9.8375,1,0,0,3,2,0,0,5,1
477,34,21,0,1,0,2,2,0,0,7,1
478,29,7.0458,0,1,0,3,2,0,0,6,1
480,2,12.2875,1,0,1,3,2,1,0,1,1
481,9,46.9,0,5,2,3,2,0,0,2,1
482,28,0,0,0,0,2,2,0,0,6,NA
483,50,8.05,0,0,0,3,2,0,0,10,1
484,63,9.5875,1,0,0,3,2,1,0,13,1
485,25,91.0792,0,1,0,1,0,1,0,5,2
486,28,25.4667,1,3,1,3,2,0,0,6,1
490,9,15.9,0,1,1,3,2,1,0,2,1
491,28,19.9667,0,1,0,3,2,0,0,6,1
494,71,49.5042,0,0,0,1,0,0,0,15,1
495,21,8.05,0,0,0,3,2,0,0,5,1
496,28,14.4583,0,0,0,3,0,0,0,6,1
497,54,78.2667,1,1,0,1,0,1,0,11,2
498,28,15.1,0,0,0,3,2,0,0,6,1
499,25,151.55,1,1,2,1,2,0,0,5,4
500,24,7.7958,0,0,0,3,2,0,0,5,1
501,17,8.6625,0,0,0,3,2,0,0,4,1
504,37,9.5875,1,0,0,3,2,0,0,8,1
505,16,86.5,1,0,0,1,2,1,0,4,2
509,28,22.525,0,0,0,3,2,0,0,6,1
511,29,7.75,0,0,0,3,1,1,0,6,1
514,54,59.4,1,1,0,1,0,1,0,11,2
515,24,7.4958,0,0,0,3,2,0,0,5,1
517,34,10.5,1,0,0,2,2,1,0,7,1
518,28,24.15,0,0,0,3,1,0,0,6,1
519,36,26,1,1,0,2,2,1,0,8,1
520,32,7.8958,0,0,0,3,2,0,0,7,1
522,22,7.8958,0,0,0,3,2,0,0,5,1
523,28,7.225,0,0,0,3,0,0,0,6,1
525,28,7.2292,0,0,0,3,0,0,0,6,1
527,50,10.5,1,0,0,2,2,1,0,10,1
528,28,221.7792,0,0,0,1,2,0,0,6,5
529,39,7.925,0,0,0,3,2,0,0,8,1
530,23,11.5,0,2,1,2,2,0,0,5,1
531,2,26,1,1,1,2,2,1,0,1,1
532,28,7.2292,0,0,0,3,0,0,0,6,1
533,17,7.2292,0,1,1,3,0,0,0,4,1
535,30,8.6625,1,0,0,3,2,0,0,6,1
537,45,26.55,0,0,0,1,2,0,0,9,1
538,30,106.425,1,0,0,1,0,1,0,6,3
540,22,49.5,1,0,2,1,0,1,0,5,1
541,36,71,1,0,2,1,2,1,0,8,2
542,9,31.275,1,4,2,3,2,0,0,2,1
544,32,26,0,1,0,2,2,1,0,7,1
546,64,26,0,0,0,1,2,0,0,13,1
551,17,110.8833,0,0,2,1,0,1,0,4,3
552,27,26,0,0,0,2,2,0,0,6,1
554,22,7.225,0,0,0,3,0,1,0,5,1
557,48,39.6,1,1,0,1,0,1,0,10,1
558,28,227.525,0,0,0,1,0,0,0,6,5
559,39,79.65,1,1,1,1,2,1,0,8,2
561,28,7.75,0,0,0,3,1,0,0,6,1
563,28,13.5,0,0,0,2,2,0,0,6,1
565,28,8.05,1,0,0,3,2,0,0,6,1
568,29,21.075,1,0,4,3,2,0,0,6,1
569,28,7.2292,0,0,0,3,0,0,0,6,1
570,32,7.8542,0,0,0,3,2,1,0,7,1
571,62,10.5,0,0,0,2,2,1,0,13,1
573,36,26.3875,0,0,0,1,2,1,0,8,1
574,28,7.75,1,0,0,3,1,1,0,6,1
575,16,8.05,0,0,0,3,2,0,0,4,1
576,19,14.5,0,0,0,3,2,0,0,4,1
577,34,13,1,0,0,2,2,1,0,7,1
578,39,55.9,1,1,0,1,2,1,0,8,2
579,28,14.4583,1,1,0,3,0,0,0,6,1
582,39,110.8833,1,1,1,1,0,1,0,8,3
583,54,26,0,0,0,2,2,0,0,11,1
584,36,40.125,0,0,0,1,0,0,0,8,1
585,28,8.7125,0,0,0,3,0,0,0,6,1
586,18,79.65,1,0,2,1,2,1,0,4,2
587,47,15,0,0,0,2,2,0,0,10,1
590,28,8.05,0,0,0,3,2,0,0,6,1
593,47,7.25,0,0,0,3,2,0,0,10,1
594,28,7.75,1,0,2,3,1,0,0,6,1
595,37,26,0,1,0,2,2,0,0,8,1
596,36,24.15,0,1,1,3,2,0,0,8,1
597,28,33,1,0,0,2,2,1,0,6,1
598,49,0,0,0,0,3,2,0,0,10,NA
599,28,7.225,0,0,0,3,0,0,0,6,1
600,49,56.9292,0,1,0,1,0,1,0,10,2
601,24,27,1,2,1,2,2,1,0,5,1
602,28,7.8958,0,0,0,3,2,0,0,6,1
603,28,42.4,0,0,0,1,2,0,0,6,1
604,44,8.05,0,0,0,3,2,0,0,9,1
605,35,26.55,0,0,0,1,0,1,0,7,1
606,36,15.55,0,1,0,3,2,0,0,8,1
608,27,30.5,0,0,0,1,2,1,0,6,1
609,22,41.5792,1,1,2,2,0,1,0,5,1
610,40,153.4625,1,0,0,1,2,1,0,8,4
611,39,31.275,1,1,5,3,2,0,0,8,1
613,28,15.5,1,1,0,3,1,1,0,6,1
614,28,7.75,0,0,0,3,1,0,0,6,1
616,24,65,1,1,2,2,2,1,0,5,2
617,34,14.4,0,1,1,3,2,0,0,7,1
618,26,16.1,1,1,0,3,2,0,0,6,1
620,26,10.5,0,0,0,2,2,0,0,6,1
622,42,52.5542,0,1,0,1,2,1,0,9,2
623,20,15.7417,0,1,1,3,0,1,0,4,1
625,21,16.1,0,0,0,3,2,0,0,5,1
627,57,12.35,0,0,0,2,1,0,0,12,1
629,26,7.8958,0,0,0,3,2,0,0,6,1
630,28,7.7333,0,0,0,3,1,0,0,6,1
632,51,7.0542,0,0,0,3,2,0,0,11,1
633,32,30.5,0,0,0,1,0,1,0,7,1
634,28,0,0,0,0,1,2,0,0,6,NA
637,32,7.925,0,0,0,3,2,0,0,7,1
639,41,39.6875,1,0,5,3,2,0,0,9,1
640,28,16.1,0,1,0,3,2,0,0,6,1
641,20,7.8542,0,0,0,3,2,0,0,4,1
642,24,69.3,1,0,0,1,0,1,0,5,2
643,2,27.9,1,3,2,3,2,0,0,1,1
645,0.75,19.2583,1,2,1,3,0,1,0,1,1
646,48,76.7292,0,1,0,1,0,1,0,10,2
647,19,7.8958,0,0,0,3,2,0,0,4,1
649,28,7.55,0,0,0,3,2,0,0,6,1
651,28,7.8958,0,0,0,3,2,0,0,6,1
652,18,23,1,0,1,2,2,1,0,4,1
654,28,7.8292,1,0,0,3,1,1,0,6,1
655,18,6.75,1,0,0,3,1,0,0,4,1
656,24,73.5,0,2,0,2,2,0,0,5,2
658,32,15.5,1,1,1,3,1,0,0,7,1
659,23,13,0,0,0,2,2,0,0,5,1
661,50,133.65,0,2,0,1,2,1,0,10,3
664,36,7.4958,0,0,0,3,2,0,0,8,1
665,20,7.925,0,1,0,3,2,1,0,4,1
666,32,73.5,0,2,0,2,2,0,0,7,2
668,28,7.775,0,0,0,3,2,0,0,6,1
669,43,8.05,0,0,0,3,2,0,0,9,1
671,40,39,1,1,1,2,2,1,0,8,1
673,70,10.5,0,0,0,2,2,0,0,14,1
674,31,13,0,0,0,2,2,1,0,7,1
677,24.5,8.05,0,0,0,3,2,0,0,5,1
679,43,46.9,1,1,6,3,2,0,0,9,1
681,28,8.1375,1,0,0,3,1,0,0,6,1
682,27,76.7292,0,0,0,1,0,1,0,6,2
683,20,9.225,0,0,0,3,2,0,0,4,1
684,14,46.9,0,5,2,3,2,0,0,3,1
686,25,41.5792,0,1,2,2,0,0,0,5,1
688,19,10.1708,0,0,0,3,2,0,0,4,1
689,18,7.7958,0,0,0,3,2,0,0,4,1
690,15,211.3375,1,0,1,1,2,1,0,3,5
692,4,13.4167,1,0,1,3,0,1,0,1,1
693,28,56.4958,0,0,0,3,2,1,0,6,2
694,25,7.225,0,0,0,3,0,0,0,5,1
695,60,26.55,0,0,0,1,2,0,0,12,1
696,52,13.5,0,0,0,2,2,0,0,11,1
697,44,8.05,0,0,0,3,2,0,0,9,1
698,28,7.7333,1,0,0,3,1,1,0,6,1
699,49,110.8833,0,1,1,1,0,0,0,10,3
701,18,227.525,1,1,0,1,0,1,0,4,5
702,35,26.2875,0,0,0,1,2,1,0,7,1
704,25,7.7417,0,0,0,3,1,0,0,5,1
705,26,7.8542,0,1,0,3,2,0,0,6,1
706,39,26,0,0,0,2,2,0,0,8,1
707,45,13.5,1,0,0,2,2,1,0,9,1
708,42,26.2875,0,0,0,1,2,1,0,9,1
709,22,151.55,1,0,0,1,2,1,0,5,4
710,28,15.2458,0,1,1,3,0,1,0,6,1
714,29,9.4833,0,0,0,3,2,0,0,6,1
715,52,13,0,0,0,2,2,0,0,11,1
716,19,7.65,0,0,0,3,2,0,0,4,1
717,38,227.525,1,0,0,1,0,1,0,8,5
718,27,10.5,1,0,0,2,2,1,0,6,1
720,33,7.775,0,0,0,3,2,0,0,7,1
722,17,7.0542,0,1,0,3,2,0,0,4,1
724,50,13,0,0,0,2,2,0,0,10,1
725,27,53.1,0,1,0,1,2,1,0,6,2
727,30,21,1,3,0,2,2,1,0,6,1
728,28,7.7375,1,0,0,3,1,1,0,6,1
729,25,26,0,1,0,2,2,0,0,5,1
732,11,18.7875,0,0,0,3,0,0,0,3,1
733,28,0,0,0,0,2,2,0,0,6,NA
734,23,13,0,0,0,2,2,0,0,5,1
735,23,13,0,0,0,2,2,0,0,5,1
737,48,34.375,1,1,3,3,2,0,0,10,1
741,28,30,0,0,0,1,2,1,0,6,1
742,36,78.85,0,1,0,1,2,0,0,8,2
743,21,262.375,1,2,2,1,0,1,0,5,6
744,24,16.1,0,1,0,3,2,0,0,5,1
745,31,7.925,0,0,0,3,2,1,0,7,1
746,70,71,0,1,1,1,2,0,0,14,2
747,16,20.25,0,1,1,3,2,0,0,4,1
748,30,13,1,0,0,2,2,1,0,6,1
749,19,53.1,0,1,0,1,2,0,0,4,2
750,31,7.75,0,0,0,3,1,0,0,7,1
751,4,23,1,1,1,2,2,1,0,1,1
753,33,9.5,0,0,0,3,2,0,0,7,1
755,48,65,1,1,2,2,2,1,0,10,2
757,28,7.7958,0,0,0,3,2,0,0,6,1
759,34,8.05,0,0,0,3,2,0,0,7,1
760,33,86.5,1,0,0,1,2,1,0,7,2
761,28,14.5,0,0,0,3,2,0,0,6,1
762,41,7.125,0,0,0,3,2,0,0,9,1
763,20,7.2292,0,0,0,3,0,1,0,4,1
764,36,120,1,1,2,1,2,1,0,8,3
765,16,7.775,0,0,0,3,2,0,0,4,1
766,51,77.9583,1,1,0,1,2,1,0,11,2
